# ElevenLabs Kenyan Sheng & Street Language Dictionary
# Format: WORD|PHONETIC|PRONUNCIATION|MEANING|CONTEXT

# SHENG SLANG & STREET LANGUAGE
doh|doʊ|DOH|money|"Huna doh enough" (You don't have enough money)
mzee|mˈzeː|m-ZEH|old man/boss|"Wewe mzee" (You old man/boss)
msee|mˈseː|m-SEH|guy/person|"Ule msee" (That guy)
msupa|mˈsupa|m-SOO-pah|super/cool person|"Msee msupa" (Cool guy)
mkurugenzi|mkuruˈɡɛnzi|m-koo-roo-GEN-zee|director/big shot|"Msee mkurugenzi" (Big shot guy)
keja|ˈkɛja|KEH-jah|house/place|"Kuja keja" (Come to the house)
mathree|maˈθriː|mah-THREE|matatu/public transport|"Panda mathree" (Board matatu)
ka|ka|KAH|small/little|"Ka-doh" (little money)
mob|moːb|MOHB|many/a lot|"Pesa mob" (A lot of money)
sana|ˈsana|SAH-nah|very/a lot|"Haraka sana" (Very fast)
buda|ˈbuda|BOO-dah|brother/friend|"Eish buda" (Hey brother)
dem|dɛm|DEM|girl/lady|"Huyo dem" (That girl)
jamaa|jaˈmaː|jah-MAH|person/guy|"Jamaa ako na doh" (Guy has money)
kitu|ˈkitu|KEE-too|thing/something|"Kitu kidogo" (Something small)
kidogo|kiˈdoɡo|kee-DOH-goh|little/small amount|"Pesa kidogo" (Little money)
kubwa|ˈkubwa|KOOB-wah|big/large|"Doh kubwa" (Big money)
ndogo|ˈndoɡo|n-DOH-goh|small|"Kitu ndogo" (Small thing)
poa|ˈpoa|POH-ah|cool/good|"Poa sana" (Very cool)
fresh|frɛʃ|FRESH|good/cool|"Msee fresh" (Cool guy)
tight|taɪt|TIGHT|difficult/tough|"Situation ni tight" (Situation is tough)
sorted|ˈsɔrtɪd|SORT-ed|fixed/handled|"Umesorted" (You're sorted)
shida|ˈʃida|SHEE-dah|problem|"Hakuna shida" (No problem)
stress|strɛs|STRESS|worry/problem|"Usistress" (Don't stress)
vibes|vaɪbz|VIBES|good feeling|"Good vibes" (Good feeling)
choma|ˈʧoma|CHOH-mah|meat/food|"Tukule choma" (Let's eat meat)
kula|ˈkula|KOO-lah|eat|"Kuja tukule" (Come let's eat)
nyama|ˈɲama|NYAH-mah|meat|"Nyama choma" (Roasted meat)
chapati|ʧaˈpati|chah-PAH-tee|flatbread|"Chapati moja" (One chapati)
sukuma|suˈkuma|soo-KOO-mah|collard greens|"Sukuma wiki" (Push the week)
ugali|uˈɡali|oo-GAH-lee|cornmeal staple|"Ugali na nyama" (Ugali and meat)

# WITTY MONEY PHRASES
broke|broʊk|BROHK|no money|"Niko broke kabisa" (I'm completely broke)
loaded|ˈloʊdɪd|LOH-ded|rich|"Msee ako loaded" (Guy is loaded)
ballin|ˈbɔlɪn|BALL-in|living large|"Tuko ballin" (We're ballin)
hustle|ˈhʌsəl|HUSS-el|work hard|"Lazima tuhustle" (We must hustle)
grind|ɡraɪnd|GRIND|work hard|"Daily grind" (Daily work)
stack|stæk|STACK|save money|"Tunastack doh" (We're stacking money)
flex|flɛks|FLEX|show off|"Unaflex na doh" (You're flexing with money)
splash|splæʃ|SPLASH|spend big|"Tumasplash leo" (Let's splash today)
budget|ˈbʌdʒɪt|BUD-jet|money plan|"Budget iko tight" (Budget is tight)
change|ʧeɪndʒ|CHAYNJ|small money|"Huna change?" (Don't you have change?)

# TRANSACTION SLANG
send|sɛnd|SEND|transfer money|"Send doh haraka" (Send money fast)
receive|rɪˈsiːv|ree-SEEV|get money|"Nimereceive" (I've received)
transfer|ˈtrænsfər|TRANS-fer|move money|"Transfer kwangu" (Transfer to me)
withdraw|wɪðˈdrɔ|with-DRAW|take out money|"Withdraw kidogo" (Withdraw a little)
deposit|dɪˈpɑzɪt|dee-POZ-it|put in money|"Deposit kwa account" (Deposit to account)
balance|ˈbæləns|BAL-ance|money left|"Check balance" (Check balance)
limit|ˈlɪmɪt|LIM-it|maximum amount|"Daily limit" (Daily limit)
charges|ˈʧɑrdʒɪz|CHAR-jez|fees|"Charges ni ngapi?" (How much are charges?)

# FAMILY & FRIENDS SLANG
moms|mɑmz|MAHMS|mother|"Send kwa moms" (Send to mom)
